# image latitude longitude
oxford_151113/1447410560133192.jpg 51.76086 -1.261764
oxford_151113/1447410573383320.jpg 51.760857 -1.261791
oxford_151113/1447410575445837.jpg 51.760848 -1.261816
oxford_151113/1447410576258342.jpg 51.760834 -1.261837
oxford_151113/1447410576883346.jpg 51.760817 -1.261849
oxford_151113/1447410577445849.jpg 51.760796 -1.261855
oxford_151113/1447410577883352.jpg 51.760781 -1.261854
oxford_151113/1447410578320857.jpg 51.760763 -1.26185
oxford_151113/1447410578695863.jpg 51.760744 -1.261843
oxford_151113/1447410579070866.jpg 51.760725 -1.261834
oxford_151113/1447410579445870.jpg 51.76069 -1.26185
oxford_151113/1447410579820874.jpg 51.760669 -1.261837
oxford_151113/1447410580133379.jpg 51.760658 -1.26183
oxford_151113/1447410580445881.jpg 51.760636 -1.261817
oxford_151113/1447410580758384.jpg 51.760614 -1.261801
oxford_151113/1447410581070888.jpg 51.760603 -1.261794
oxford_151113/1447410581383389.jpg 51.76058 -1.261778
oxford_151113/1447410581695890.jpg 51.760568 -1.26177
oxford_151113/1447410582008395.jpg 51.760545 -1.261754
oxford_151113/1447410582320896.jpg 51.760533 -1.261746
oxford_151113/1447410582633395.jpg 51.760524 -1.261702
oxford_151113/1447410582945898.jpg 51.760501 -1.261683
oxford_151113/1447410583258401.jpg 51.760489 -1.261675
oxford_151113/1447410583570903.jpg 51.760465 -1.261658
oxford_151113/1447410583883408.jpg 51.760453 -1.261647
oxford_151113/1447410584195910.jpg 51.760428 -1.261638
oxford_151113/1447410584508412.jpg 51.760416 -1.26163
oxford_151113/1447410584820919.jpg 51.760378 -1.261642
oxford_151113/1447410585133419.jpg 51.760366 -1.261635
oxford_151113/1447410585445922.jpg 51.760334 -1.26163
oxford_151113/1447410585758425.jpg 51.760311 -1.261615
oxford_151113/1447410586070931.jpg 51.7603 -1.261608
oxford_151113/1447410586383434.jpg 51.760302 -1.261558
oxford_151113/1447410586695937.jpg 51.760291 -1.261552
oxford_151113/1447410587008443.jpg 51.760263 -1.261548
oxford_151113/1447410587320945.jpg 51.760233 -1.261569
oxford_151113/1447410587633447.jpg 51.76023 -1.261529
oxford_151113/1447410587945951.jpg 51.760209 -1.261517
oxford_151113/1447410588320960.jpg 51.760199 -1.26151
oxford_151113/1447410588695960.jpg 51.760178 -1.261498
oxford_151113/1447410589070965.jpg 51.760156 -1.26149
oxford_151113/1447410589445966.jpg 51.760135 -1.26148
oxford_151113/1447410589820971.jpg 51.760121 -1.261454
oxford_151113/1447410590258476.jpg 51.760105 -1.261444
oxford_151113/1447410590633480.jpg 51.760084 -1.261433
oxford_151113/1447410591008479.jpg 51.760066 -1.261422
oxford_151113/1447410591383483.jpg 51.76001 -1.261432
oxford_151113/1447410591820983.jpg 51.75999 -1.261421
oxford_151113/1447410592195983.jpg 51.759969 -1.26141
oxford_151113/1447410592570987.jpg 51.759986 -1.261382
oxford_151113/1447410592883490.jpg 51.759975 -1.261374
oxford_151113/1447410593195994.jpg 51.759952 -1.261362
oxford_151113/1447410593508499.jpg 51.759943 -1.261362
oxford_151113/1447410593821003.jpg 51.759921 -1.26135
oxford_151113/1447410594133505.jpg 51.759911 -1.261346
oxford_151113/1447410594446012.jpg 51.759884 -1.261335
oxford_151113/1447410594758512.jpg 51.759862 -1.261326
oxford_151113/1447410595071016.jpg 51.759844 -1.261322
oxford_151113/1447410595383519.jpg 51.759827 -1.261309
oxford_151113/1447410595696021.jpg 51.759818 -1.2613
oxford_151113/1447410596008522.jpg 51.759794 -1.261291
oxford_151113/1447410596321024.jpg 51.759783 -1.261291
oxford_151113/1447410596633528.jpg 51.759752 -1.261289
oxford_151113/1447410596946027.jpg 51.759735 -1.261275
oxford_151113/1447410597258531.jpg 51.759724 -1.261267
oxford_151113/1447410597571032.jpg 51.759705 -1.261252
oxford_151113/1447410597883536.jpg 51.759691 -1.261248
oxford_151113/1447410598196039.jpg 51.759669 -1.261234
oxford_151113/1447410598508542.jpg 51.75966 -1.261226
oxford_151113/1447410598821045.jpg 51.759634 -1.26122
oxford_151113/1447410599133551.jpg 51.759609 -1.261206
oxford_151113/1447410599446055.jpg 51.759597 -1.261196
oxford_151113/1447410599758556.jpg 51.759587 -1.261159
oxford_151113/1447410600071060.jpg 51.759574 -1.261147
oxford_151113/1447410600383564.jpg 51.759538 -1.261155
oxford_151113/1447410600696069.jpg 51.759519 -1.261162
oxford_151113/1447410601008571.jpg 51.759497 -1.261146
oxford_151113/1447410601321075.jpg 51.759485 -1.261135
oxford_151113/1447410601633581.jpg 51.759454 -1.261129
oxford_151113/1447410602008580.jpg 51.759432 -1.261117
oxford_151113/1447410602321085.jpg 51.759418 -1.261111
oxford_151113/1447410602571089.jpg 51.759373 -1.261088
oxford_151113/1447410602883589.jpg 51.75936 -1.261082
oxford_151113/1447410603196092.jpg 51.759333 -1.261067
oxford_151113/1447410603508598.jpg 51.759342 -1.261065
oxford_151113/1447410603758597.jpg 51.759317 -1.261046
oxford_151113/1447410604008598.jpg 51.759302 -1.261032
oxford_151113/1447410604258598.jpg 51.759289 -1.261028
oxford_151113/1447410604508599.jpg 51.759275 -1.261024
oxford_151113/1447410604758601.jpg 51.759244 -1.26101
oxford_151113/1447410605008602.jpg 51.759229 -1.261008
oxford_151113/1447410605258602.jpg 51.759216 -1.261004
oxford_151113/1447410605508608.jpg 51.759207 -1.260991
oxford_151113/1447410605758608.jpg 51.759181 -1.260974
oxford_151113/1447410606008611.jpg 51.759167 -1.260962
oxford_151113/1447410606258613.jpg 51.759154 -1.260954
oxford_151113/1447410606508618.jpg 51.759132 -1.26096
oxford_151113/1447410606758620.jpg 51.759101 -1.260944
oxford_151113/1447410607008621.jpg 51.759087 -1.260936
oxford_151113/1447410607258624.jpg 51.759073 -1.260928
oxford_151113/1447410607508625.jpg 51.759057 -1.26092
oxford_151113/1447410607758626.jpg 51.759031 -1.260901
oxford_151113/1447410608008627.jpg 51.759016 -1.260891
oxford_151113/1447410608258636.jpg 51.759005 -1.260881
oxford_151113/1447410608508633.jpg 51.758975 -1.260884
oxford_151113/1447410608758632.jpg 51.758946 -1.260865
oxford_151113/1447410609008635.jpg 51.758931 -1.260856
oxford_151113/1447410609258637.jpg 51.758917 -1.260847
oxford_151113/1447410609508640.jpg 51.758902 -1.260839
oxford_151113/1447410609758644.jpg 51.758872 -1.260814
oxford_151113/1447410610008648.jpg 51.758857 -1.260802
oxford_151113/1447410610258648.jpg 51.758843 -1.26079
oxford_151113/1447410610508650.jpg 51.758828 -1.260779
oxford_151113/1447410610758654.jpg 51.758799 -1.260749
oxford_151113/1447410611008656.jpg 51.758784 -1.260744
oxford_151113/1447410611258662.jpg 51.758769 -1.26073
oxford_151113/1447410611508662.jpg 51.758755 -1.260714
oxford_151113/1447410611758664.jpg 51.758724 -1.26069
oxford_151113/1447410612008668.jpg 51.758709 -1.260673
oxford_151113/1447410612258669.jpg 51.758694 -1.260657
oxford_151113/1447410612508670.jpg 51.758679 -1.260656
oxford_151113/1447410612758671.jpg 51.75865 -1.260629
oxford_151113/1447410613008673.jpg 51.758637 -1.260617
oxford_151113/1447410613258676.jpg 51.758622 -1.260606
oxford_151113/1447410613508681.jpg 51.758607 -1.260593
oxford_151113/1447410613758681.jpg 51.758575 -1.260574
oxford_151113/1447410614008683.jpg 51.758561 -1.260562
oxford_151113/1447410614258686.jpg 51.758547 -1.260548
oxford_151113/1447410614508688.jpg 51.758538 -1.260526
oxford_151113/1447410614758689.jpg 51.758504 -1.260512
oxford_151113/1447410615008692.jpg 51.758489 -1.2605
oxford_151113/1447410615258698.jpg 51.758485 -1.260473
oxford_151113/1447410615508699.jpg 51.758463 -1.260477
oxford_151113/1447410615758698.jpg 51.758436 -1.260455
oxford_151113/1447410616008702.jpg 51.758421 -1.260444
oxford_151113/1447410616258704.jpg 51.758409 -1.260434
oxford_151113/1447410616508721.jpg 51.758407 -1.260404
oxford_151113/1447410616758733.jpg 51.758381 -1.260382
oxford_151113/1447410617008716.jpg 51.758368 -1.260374
